entry_id,country,participating_adults,non_participating_adults,participating_juniors,non_participating_juniors,booking_entry,stay_accomodation,event_organisation_rating,organisation_comments,course_planning_rating,planning_comments,social_programme_rating,programme_comments,event_comments,livestream_awareness,livestream_rating,website_provision_rating,event_info_rating,followed_via_social,social_media_content,improvement_comments,authority,transport_to_area,overnight_stay_location,transport_to_event,age,total_people,longitude,latitude
1,Other UK,2,0,0,0,Very easy,self-catered,Excellent,NA,Excellent,NA,Not interested in social programme,NA,NA,No,Excellent,Excellent,Excellent,Yes,Excellent,NA,highland,car,comrie,car,21-40,2,-4.66091013,57.586689
2,Rest of the World,2,0,0,0,Very easy,hotel/B&B,Excellent,NA,Good,NA,Good,NA,NA,Yes,NA,Excellent,Excellent,No,NA,NA,highland,other,comrie,car,41-60,2,-4.66091013,57.586689
3,Other UK,2,0,0,0,Very easy,campsite,Excellent,NA,Good,NA,Not interested in social programme,NA,NA,Yes,NA,Excellent,Good,No,NA,NA,aberdeen,car,comrie croft,bus,< 21,2,-2.20397997,57.1669693
4,Scotland,1,1,0,0,Very easy,hotel/B&B,Excellent,NA,Good,NA,Good,NA,NA,Yes,Excellent,Good,Excellent,No,NA,NA,stirling,car,bridge of allan,car,> 60,2,-4.32595015,56.24953079
5,Scotland,2,0,0,0,Very easy,own home,Excellent,NA,Excellent,NA,Excellent,NA,Middle only if area is suitable,Yes,Good,Excellent,Excellent,Yes,Good,NA,NA,car,perth,car,> 60,2,NA,NA
6,Other UK,34,0,3,0,Easy,self-catered,Excellent,Well organised with great service and support,Excellent,Distance of start from the Arena,Good,NA,NA,Yes,Average,Excellent,Good,Yes,Average,NA,NA,car,dundee,car,21-40,16,NA,NA
7,Other UK,4,1,3,0,Very easy,campsite,Good,NA,Good,NA,Not interested in social programme,NA,NA,Yes,NA,Excellent,Excellent,Yes,Excellent,NA,NA,car,crieff,car,21-40,8,NA,NA
8,Scotland,2,0,2,0,Easy,own home,Excellent,NA,Excellent,NA,Average,NA,NA,Yes,NA,Excellent,Very poor,No,NA,NA,NA,car,barry buddon,car,41-60,4,NA,NA
9,Rest of the World,1,0,0,0,Easy,own home,Excellent,NA,Excellent,NA,Not interested in social programme,Was based too far away to partake and small child means not suitable at this time but have enjoyed them in the past,NA,Yes,Good,Good,Good,No,NA,arena wi-fi didn’t work for me but if it had been more consistent would definitely have used daily,NA,car,near dunning,car,41-60,1,NA,NA
10,Other UK,2,0,0,0,Very easy,self-catered,Excellent,NA,Average,"Only comment would be to ensure some consistency on junior courses. A mixture of taping, smiley faces, arrows, written instructions was used throughout the week and on day 5 white taping was used to lead adults across clear fell straight to a white control - this was all a bit confusing. A set standard across the 6 days would be preferable (and certainly not signs with course numbers on them - young children know the colour of their course, not the number).",Not interested in social programme,NA,NA,Yes,NA,Excellent,Excellent,No,NA,my just turned 7 year old competed on m10b during the week - basically his first taste of this sport by himself. he absolutely loved it and can’t wait until the next event.,east renfrewshire,car,comrie,car,> 60,2,-4.36059999,55.74868011
11,Other UK,5,0,0,0,Very easy,campsite,Excellent,There had been a glitch on course 18 on day 3 which meant I was handed the wrong control list which meant the run was void for me. Unfortunate but mistakes do happen.,Good,NA,Not interested in social programme,NA,NA,Yes,NA,Good,Excellent,No,NA,the campsite and bus service were excellent and were a major factor in making it a really enjoyable week. weather helped as well. thanks,NA,car,comrie  crofy,car,41-60,5,NA,NA
12,Scotland,1,0,0,0,Very easy,with friends,Excellent,Daily newsletter was better when it was on paper. Can we get it back for 2021?,Excellent,"Sprint race was a bit boring. Why we didnt use built area more? Just running the same road there and back wasnt worth of money. Park was great, but controls along the roads were poor planning. (course 2)",Not interested in social programme,NA,NA,Yes,NA,Excellent,Excellent,Yes,Excellent,string courses were in (too) difficult terrain for small kids.,NA,car,scone,car,41-60,1,NA,NA
13,Other UK,1,0,0,0,Easy,self-catered,Excellent,NA,Excellent,NA,Not interested in social programme,NA,NA,Yes,Excellent,Excellent,Excellent,Yes,Excellent,NA,NA,car,perth,car,21-40,1,NA,NA
14,Other UK,1,1,0,0,Very easy,self-catered,Excellent,Could have involved local community more in participating.. Would have been good for first timers & locals like myself to have had an intro price rather than paying £7 per day which added as I became hooked and loved O'ing!,Excellent,Brilliant organisation on all fronts. Events ran seemlessly,Excellent,NA,NA,Yes,NA,Excellent,Excellent,No,NA,NA,perth and kinross,car,crieff,car,21-40,2,-3.88479996,56.57529068
