authority,longitude,latitude
Dumfries and Galloway,-4.02862978,55.09621811
South Ayrshire,-4.72901011,55.23006821
East Ayrshire,-4.29056978,55.49673843
Scottish Borders,-2.85865998,55.52593994
South Lanarkshire,-3.83272004,55.60453033
North Ayrshire,-4.7247901,55.72787857
East Renfrewshire,-4.36059999,55.74868011
Midlothian,-3.1173799,55.82110977
Renfrewshire,-4.56833982,55.84862137
North Lanarkshire,-3.95140004,55.86814117
Glasgow City,-4.21478987,55.87649155
West Lothian,-3.60909009,55.89920044
Inverclyde,-4.75387001,55.90034866
City of Edinburgh,-3.27825999,55.91119003
East Lothian,-2.72434998,55.94207001
East Dunbartonshire,-4.22417021,55.9582901
Falkirk,-3.77060008,55.99604034
West Dunbartonshire,-4.52074003,56.00141144
Clackmannanshire,-3.7534399,56.14723969
Fife,-2.98235011,56.23117065
Stirling,-4.32595015,56.24953079
Argyll and Bute,-5.22113991,56.28942871
Dundee City,-2.97094989,56.4776001
Perth and Kinross,-3.88479996,56.57529068
Angus,-2.89189005,56.72480011
Aberdeen City,-2.20397997,57.1669693
Aberdeenshire,-2.79204988,57.23468018
Moray,-3.20186996,57.47682953
Highland,-4.66091013,57.586689
Na h-Eileanan Siar,-6.65721989,58.19937897
Orkney Islands,-2.90028,58.9433403
Shetland Islands,-1.37344003,60.50495148
