club,type,gender,dob,renewal_status
12,Junior,Female,2011,Renewal
6,Senior,Male,1972,Renewal
5,Junior,Male,2007,New
8,Junior,Female,2002,New
12,Senior,Male,1974,New
5,Junior,Male,2007,New
13,Junior,Male,2007,Renewal
19,Senior,Female,1938,New
12,Senior,Female,1970,New
8,Junior,Female,2010,Renewal
6,Junior,Female,2007,New
14,Senior,Female,1977,New
17,Junior,Female,2011,Renewal
8,Senior,Male,1967,Renewal
6,Junior,Male,2009,New
8,Junior,Male,2005,New
8,Junior,Female,2004,New
6,Senior,Female,1978,New
8,Junior,Female,2004,New
19,Senior,Male,1944,Renewal
17,Senior,Male,1971,New
18,Senior,Female,1980,New
19,Junior,Male,2008,New
18,Senior,Male,1975,New
10,Senior,Male,1996,New
19,Junior,Female,2011,New
5,Senior,Male,1982,Renewal
6,Senior,Female,1976,New
6,Senior,Male,1954,Renewal
18,Senior,Female,1981,Renewal
12,Junior,Female,2012,New
19,Senior,Male,1957,New
17,Junior,Male,2005,Renewal
12,Junior,Female,2014,Renewal
9,Junior,Female,2012,New
12,Senior,Female,1970,New
18,Junior,Male,2004,New
3,Senior,Male,1954,New
12,Senior,Male,1991,New
6,Senior,Female,1979,New
12,Junior,Male,2010,New
19,Junior,Male,2008,Renewal
3,Senior,Female,1979,Renewal
15,Senior,Male,1952,Renewal
19,Senior,Female,1973,Renewal
12,Junior,Female,2006,New
12,Junior,Female,2011,New
12,Junior,Male,2016,New
4,Junior,Male,2009,Renewal
19,Senior,Female,1988,New
18,Senior,Male,1984,New
10,Junior,Male,2004,New
10,Junior,Female,2000,New
6,Junior,Female,2009,New
2,Senior,Female,1973,New
17,Senior,Male,1965,New
9,Senior,Male,1958,Renewal
14,Senior,Male,1952,Renewal
15,Junior,Male,2007,Renewal
6,Senior,Male,1975,Renewal
12,Junior,Female,2007,New
12,Junior,Female,2003,New
17,Senior,Female,1966,New
12,Junior,Female,2016,New
12,Senior,Male,1974,Renewal
12,Senior,Female,1991,New
12,Senior,Male,1973,Renewal
6,Senior,Male,1979,New
7,Senior,Female,1971,New
1,Senior,Male,1958,New
8,Senior,Male,1973,Renewal
5,Junior,Female,2009,New
5,Senior,Male,1976,New
8,Junior,Male,2008,Renewal
6,Senior,Male,1975,New
6,Junior,Female,2012,Renewal
12,Junior,Female,2011,New
8,Junior,Male,2011,New
12,Junior,Male,2014,Renewal
16,Junior,Female,2007,New
8,Junior,Female,2002,New
12,Junior,Male,2015,Renewal
6,Senior,Female,1981,New
5,Junior,Female,2009,New
9,Junior,Male,2007,Renewal
8,Senior,Female,1979,New
18,Junior,Female,2008,New
16,Senior,Male,1971,New
17,Senior,Male,1965,New
12,Senior,Male,1974,Renewal
4,Senior,Female,1983,New
4,Junior,Female,2009,Renewal
13,Senior,Female,1980,New
19,Senior,Male,1976,Renewal
12,Junior,Female,2007,Renewal
6,Senior,Male,1970,New
6,Senior,Male,1970,New
1,Junior,Female,2011,New
12,Junior,Female,2014,New
19,Senior,Female,1961,Renewal
6,Junior,Female,2005,New
13,Junior,Male,2012,New
4,Senior,Male,1972,Renewal
11,Senior,Male,1994,New
9,Senior,Male,1961,Renewal
3,Senior,Male,1964,New
12,Junior,Female,2012,Renewal
16,Senior,Male,1950,Renewal
12,Senior,Male,1965,New
16,Junior,Female,2007,Renewal
12,Junior,Female,2012,Renewal
4,Junior,Female,2009,Renewal
12,Junior,Female,2014,New
14,Junior,Male,2005,New
19,Senior,Male,1968,New
8,Senior,Male,1977,New
15,Junior,Male,2009,Renewal
5,Junior,Male,2015,New
5,Senior,Female,1974,New
19,Senior,Male,1965,Renewal
10,Senior,Male,1996,New
19,Junior,Male,2007,New
6,Senior,Male,1947,Renewal
19,Junior,Male,2008,New
6,Junior,Male,2003,New
12,Senior,Female,1967,Renewal
1,Junior,Male,2014,New
8,Senior,Female,1972,New
8,Junior,Female,2012,New
4,Senior,Male,1961,Renewal
18,Senior,Male,1972,Renewal
17,Junior,Male,2004,Renewal
6,Senior,Female,1970,New
9,Senior,Male,1958,New
12,Junior,Female,2009,New
6,Senior,Male,1981,Renewal
